word;Economy;Sport;Hospitals;General statistics;Restrictions;Vaccine research;Mental health;Schools;Global politics;General politics;Global statistics;Vaccine politics
unforeseen;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
loving;1;1;1;1;1;1;1;1;1;1;1;1
irrelevant;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sensation;1;1;1;1;1;1;1;1;1;1;1;1
anomalous;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
rue;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
simplest;1;1;1;1;1;1;1;1;1;1;1;1
dominates;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
elegant;1;1;1;1;1;1;1;1;1;1;1;1
romantic;1;1;1;1;1;1;1;1;1;1;1;1
applaud;1;1;1;1;1;1;1;1;1;1;1;1
incompetence;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
scandalous;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
talented;1;1;1;1;1;1;1;1;1;1;1;1
usable;1;1;1;1;1;1;1;1;1;1;1;1
abyss;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
inaccurate;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
paradise;1;1;1;1;1;1;1;1;1;1;1;1
arrogance;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
destructive;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
warmer;1;1;1;1;1;1;1;1;1;1;1;1
monster;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
ironic;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
selfishness;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
stagnation;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
admire;1;1;1;1;1;1;1;1;1;1;1;1
genuine;1;1;1;1;1;1;1;1;1;1;1;1
exacerbate;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
jam;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
fascinating;1;1;1;1;1;1;1;1;1;1;1;1
blackmail;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
frail;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
patriotic;1;1;1;1;1;1;1;1;1;1;1;1
awkward;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
indifferent;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
lengthy;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
misery;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
poison;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
bleeding;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
negativity;1;1;1;1;1;1;1;1;1;1;1;1
skill;1;1;1;1;1;1;1;1;1;1;1;1
hesitant;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
goodness;1;1;1;1;1;1;1;1;1;1;1;1
strained;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
negatives;1;1;1;1;1;1;1;1;1;1;1;1
fearful;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
troubles;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
clever;1;1;1;1;1;1;1;1;1;1;1;1
genius;1;1;1;1;1;1;1;1;1;1;1;1
desperation;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
slap;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
careless;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
gratifying;1;1;1;1;1;1;1;1;1;1;1;1
charitable;1;1;1;1;1;1;1;1;1;1;1;1
ordeal;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sporadic;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
overtake;1;1;1;1;1;1;1;1;1;1;1;1
complication;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
panicked;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
formidable;1;1;1;1;1;1;1;1;1;1;1;1
unstable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
counterproductive;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
objections;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
stranger;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
coherent;1;1;1;1;1;1;1;1;1;1;1;1
heroic;1;1;1;1;1;1;1;1;1;1;1;1
downhill;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
hangs;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
mockery;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
scandals;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
setbacks;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
frugal;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
deprive;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
ironically;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
overdue;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
defeating;1;1;1;1;1;1;1;1;1;1;1;1
onslaught;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
prejudices;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
relentless;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
instrumental;1;1;1;1;1;1;1;1;1;1;1;1
revelation;1;1;1;1;1;1;1;1;1;1;1;1
wrongly;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
rejoice;1;1;1;1;1;1;1;1;1;1;1;1
easiest;1;1;1;1;1;1;1;1;1;1;1;1
wisely;1;1;1;1;1;1;1;1;1;1;1;1
abrupt;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
helpless;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
serene;1;1;1;1;1;1;1;1;1;1;1;1
junk;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
provocation;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
rumor;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
turbulent;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
vomiting;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
malaise;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
unreliable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
corrupt;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
scams;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
anxieties;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
devil;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
havoc;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
unsure;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
hastily;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
unwanted;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
advantageous;1;1;1;1;1;1;1;1;1;1;1;1
enhancement;1;1;1;1;1;1;1;1;1;1;1;1
goodwill;1;1;1;1;1;1;1;1;1;1;1;1
inconsistent;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
obsession;1;1;1;1;1;1;1;1;1;1;1;1
stricken;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
disagrees;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
eagerly;1;1;1;1;1;1;1;1;1;1;1;1
obese;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sinking;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
uprising;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
distraction;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
hazard;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
layoff;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
miserable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
scarcity;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
fury;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
heartfelt;1;1;1;1;1;1;1;1;1;1;1;1
downside;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sue;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
volatile;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
battered;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
insane;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
irritation;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
lovely;1;1;1;1;1;1;1;1;1;1;1;1
magnificent;1;1;1;1;1;1;1;1;1;1;1;1
quieter;1;1;1;1;1;1;1;1;1;1;1;1
wary;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
reasoned;1;1;1;1;1;1;1;1;1;1;1;1
warmth;1;1;1;1;1;1;1;1;1;1;1;1
confuse;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
cheerful;1;1;1;1;1;1;1;1;1;1;1;1
respectful;1;1;1;1;1;1;1;1;1;1;1;1
excuses;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
oversight;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
fraudulent;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
frost;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
irrational;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
refunded;1;1;1;1;1;1;1;1;1;1;1;1
overtook;1;1;1;1;1;1;1;1;1;1;1;1
overturn;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
quarrel;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
congratulate;1;1;1;1;1;1;1;1;1;1;1;1
masterpiece;1;1;1;1;1;1;1;1;1;1;1;1
bullying;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
disgusting;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sober;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
subordinate;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
thwart;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
inspire;1;1;1;1;1;1;1;1;1;1;1;1
insulted;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
succeeds;1;1;1;1;1;1;1;1;1;1;1;1
mocked;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
unbelievable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
abusive;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
evasion;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
aggravate;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
aggravating;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
odd;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tanks;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
cumbersome;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
assurance;1;1;1;1;1;1;1;1;1;1;1;1
famine;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
vicious;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
volatility;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
charm;1;1;1;1;1;1;1;1;1;1;1;1
apocalyptic;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
fragmented;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
nervousness;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
scream;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
abundance;1;1;1;1;1;1;1;1;1;1;1;1
glory;1;1;1;1;1;1;1;1;1;1;1;1
lean;1;1;1;1;1;1;1;1;1;1;1;1
brutally;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
longing;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
untrue;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
virulent;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
miraculous;1;1;1;1;1;1;1;1;1;1;1;1
exile;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
smarter;1;1;1;1;1;1;1;1;1;1;1;1
confession;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
deficiency;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
doubtful;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
idle;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
lemon;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
lied;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
melancholy;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
prestige;1;1;1;1;1;1;1;1;1;1;1;1
cracks;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
interruptions;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
evenly;1;1;1;1;1;1;1;1;1;1;1;1
leak;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
unresolved;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
honesty;1;1;1;1;1;1;1;1;1;1;1;1
apprehension;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
persecution;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
unpopular;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
entertain;1;1;1;1;1;1;1;1;1;1;1;1
liable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
praising;1;1;1;1;1;1;1;1;1;1;1;1
profoundly;1;1;1;1;1;1;1;1;1;1;1;1
renaissance;1;1;1;1;1;1;1;1;1;1;1;1
fascism;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
rash;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
inaction;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
intimidation;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
gentle;1;1;1;1;1;1;1;1;1;1;1;1
lover;1;1;1;1;1;1;1;1;1;1;1;1
devoid;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
memorable;1;1;1;1;1;1;1;1;1;1;1;1
fool;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
coercion;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
cynical;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
stubborn;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
assuring;1;1;1;1;1;1;1;1;1;1;1;1
banal;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
louder;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
outburst;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
dissolution;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
protracted;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
booming;1;1;1;1;1;1;1;1;1;1;1;1
miracles;1;1;1;1;1;1;1;1;1;1;1;1
intolerable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
quarrels;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
coercive;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
meaningless;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
obscure;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
diversified;1;1;1;1;1;1;1;1;1;1;1;1
durable;1;1;1;1;1;1;1;1;1;1;1;1
sharpest;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
substantive;1;1;1;1;1;1;1;1;1;1;1;1
dissent;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
euphoria;1;1;1;1;1;1;1;1;1;1;1;1
forged;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
heartbreaking;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
imaginary;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
twist;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
unspecified;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
backbone;1;1;1;1;1;1;1;1;1;1;1;1
glorious;1;1;1;1;1;1;1;1;1;1;1;1
disturb;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
fooled;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
intrusive;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
scourge;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
delight;1;1;1;1;1;1;1;1;1;1;1;1
dignified;1;1;1;1;1;1;1;1;1;1;1;1
glimmer;1;1;1;1;1;1;1;1;1;1;1;1
dragging;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
irreversible;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
leaks;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
outrageous;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
foresight;1;1;1;1;1;1;1;1;1;1;1;1
leverage;1;1;1;1;1;1;1;1;1;1;1;1
rewarding;1;1;1;1;1;1;1;1;1;1;1;1
unequivocally;1;1;1;1;1;1;1;1;1;1;1;1
contempt;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
fracture;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
negligent;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
uneven;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
irreplaceable;1;1;1;1;1;1;1;1;1;1;1;1
stunned;1;1;1;1;1;1;1;1;1;1;1;1
dirt;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
harmed;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
hottest;1;1;1;1;1;1;1;1;1;1;1;1
ruins;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
daring;1;1;1;1;1;1;1;1;1;1;1;1
contradict;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
genocide;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
penalize;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
superficial;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
permissible;1;1;1;1;1;1;1;1;1;1;1;1
disturbance;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
misunderstandings;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
refuted;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
ailing;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
carelessness;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
gossip;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
happily;1;1;1;1;1;1;1;1;1;1;1;1
unconditional;1;1;1;1;1;1;1;1;1;1;1;1
accidental;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
embarrassment;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
jobless;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
misfortune;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
obsolete;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
relapse;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
delicious;1;1;1;1;1;1;1;1;1;1;1;1
monumental;1;1;1;1;1;1;1;1;1;1;1;1
hypocrisy;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
undermines;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
cleanliness;1;1;1;1;1;1;1;1;1;1;1;1
hostage;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
plea;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
renounce;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
shit;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
happier;1;1;1;1;1;1;1;1;1;1;1;1
humble;1;1;1;1;1;1;1;1;1;1;1;1
deviate;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
improper;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
pointless;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
intimacy;1;1;1;1;1;1;1;1;1;1;1;1
noteworthy;1;1;1;1;1;1;1;1;1;1;1;1
admiration;1;1;1;1;1;1;1;1;1;1;1;1
extraordinarily;1;1;1;1;1;1;1;1;1;1;1;1
mistaken;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
compassionate;1;1;1;1;1;1;1;1;1;1;1;1
bias;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
eases;1;1;1;1;1;1;1;1;1;1;1;1
perseverance;1;1;1;1;1;1;1;1;1;1;1;1
misuse;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
roadblocks;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
smells;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tricky;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
ample;1;1;1;1;1;1;1;1;1;1;1;1
diligence;1;1;1;1;1;1;1;1;1;1;1;1
envy;1;1;1;1;1;1;1;1;1;1;1;1
invaluable;1;1;1;1;1;1;1;1;1;1;1;1
unforgettable;1;1;1;1;1;1;1;1;1;1;1;1
ax;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
cave;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
intolerance;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
lech;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
emptiness;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
appreciates;1;1;1;1;1;1;1;1;1;1;1;1
indignant;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
warp;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
persevere;1;1;1;1;1;1;1;1;1;1;1;1
stealing;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
inflated;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
objection;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
deficient;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
abundant;1;1;1;1;1;1;1;1;1;1;1;1
reaffirm;1;1;1;1;1;1;1;1;1;1;1;1
burdensome;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
excessively;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
affluent;1;1;1;1;1;1;1;1;1;1;1;1
pardon;1;1;1;1;1;1;1;1;1;1;1;1
stormy;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
straightforward;1;1;1;1;1;1;1;1;1;1;1;1
thoughtful;1;1;1;1;1;1;1;1;1;1;1;1
addicts;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
defects;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
disruptive;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sparkling;1;1;1;1;1;1;1;1;1;1;1;1
confess;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
flaws;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
helplessness;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
massacres;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
unhealthy;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
culprit;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
haste;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
hectic;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
involuntary;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
undocumented;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
pros;1;1;1;1;1;1;1;1;1;1;1;1
adamant;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
distract;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
pessimism;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
superfluous;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
honorable;1;1;1;1;1;1;1;1;1;1;1;1
mourn;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
revoke;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
ruthless;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
succumb;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
cheapest;1;1;1;1;1;1;1;1;1;1;1;1
distressed;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
hostility;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tormented;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
upheaval;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
portable;1;1;1;1;1;1;1;1;1;1;1;1
bitterness;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
brutality;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
cursed;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
fuck;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
incapable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
nasty;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
notorious;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
totalitarian;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
kindly;1;1;1;1;1;1;1;1;1;1;1;1
disagreed;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
hardships;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
